station,lat,long,gridReference,stationReference,northing,easting,river,Waterbody ID,Distance,River basin district,Management catchment,Operational catchment,water body,Water body type,Easting,Northing,Ngr
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00772090,51.827984,-2.514346,None,MD-00772090,214500,364650,None,GB30940714,3236.1906618739263,Severn,Severn Vale,Forest of Dean,Soudley Ponds,Lake,366257,211691,SO6625711691
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-01116480,51.823699,-2.46366,None,MD-01116480,214000,368140,None,GB30940714,2979.4580044028144,Severn,Severn Vale,Forest of Dean,Soudley Ponds,Lake,366257,211691,SO6625711691
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-01282580,51.835956,-2.47888,None,MD-01282580,215370,367100,None,GB30940714,3774.3463010169057,Severn,Severn Vale,Forest of Dean,Soudley Ponds,Lake,366257,211691,SO6625711691
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-01282585,51.835413,-2.479745,None,MD-01282585,215310,367040,None,GB30940714,3702.7354752939077,Severn,Severn Vale,Forest of Dean,Soudley Ponds,Lake,366257,211691,SO6625711691
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00014475,51.849754,-2.337479,None,MD-00014475,216850,376850,None,GB530905415403,1898.5649844026937,Severn,Severn England TraC,Severn River and Tributaries Estuary,SEVERN UPPER,TransitionalWater,375560,215457,SO7556015457
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-01104020,51.818764,-2.412832,None,MD-01104020,213430,371640,None,GB530905415403,4413.063448444856,Severn,Severn England TraC,Severn River and Tributaries Estuary,SEVERN UPPER,TransitionalWater,375560,215457,SO7556015457
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-02403160,51.847013,-2.352266,None,MD-02403160,216550,375830,None,GB530905415403,1125.854786373447,Severn,Severn England TraC,Severn River and Tributaries Estuary,SEVERN UPPER,TransitionalWater,375560,215457,SO7556015457
http://environment.data.gov.uk/flood-monitoring/id/stations/2102,51.850206,-2.336612,None,2102,216900,376910,River Severn,GB530905415403,1976.0437748187665,Severn,Severn England TraC,Severn River and Tributaries Estuary,SEVERN UPPER,TransitionalWater,375560,215457,SO7556015457
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00015650,51.841728,-2.277763,None,MD-00015650,215940,380960,None,GB109054032680,2763.296039153243,Severn,Severn Vale,Gloucester Tributaries,Daniels Bk - source to Glos-Sharpness Canal,River,382478,213631,SO8247813631
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-02659340,51.844896,-2.268782,None,MD-02659340,216290,381580,None,GB109054032680,2806.5432474843496,Severn,Severn Vale,Gloucester Tributaries,Daniels Bk - source to Glos-Sharpness Canal,River,382478,213631,SO8247813631
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-02659450,51.84293,-2.2634,None,MD-02659450,216070,381950,None,GB109054032680,2495.4969444982294,Severn,Severn Vale,Gloucester Tributaries,Daniels Bk - source to Glos-Sharpness Canal,River,382478,213631,SO8247813631
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-03883020,51.836616,-2.272361,None,MD-03883020,215370,381330,None,GB109054032680,2083.752624473452,Severn,Severn Vale,Gloucester Tributaries,Daniels Bk - source to Glos-Sharpness Canal,River,382478,213631,SO8247813631
http://environment.data.gov.uk/flood-monitoring/id/stations/2225,51.832287,-2.270144,None,2225,214888,381481,Daniels Brook,GB109054032680,1604.3871103944957,Severn,Severn Vale,Gloucester Tributaries,Daniels Bk - source to Glos-Sharpness Canal,River,382478,213631,SO8247813631
http://environment.data.gov.uk/flood-monitoring/id/stations/2270,51.819013,-2.28698,SO8031513416,2270,213416,380315,Dimore Brook,GB109054032680,2173.659126910197,Severn,Severn Vale,Gloucester Tributaries,Daniels Bk - source to Glos-Sharpness Canal,River,382478,213631,SO8247813631
http://environment.data.gov.uk/flood-monitoring/id/stations/2269,51.835524,-2.26623,SO8175215247,2269,215247,381752,Whaddon Brook,GB109054032680,1771.5902460783645,Severn,Severn Vale,Gloucester Tributaries,Daniels Bk - source to Glos-Sharpness Canal,River,382478,213631,SO8247813631
http://environment.data.gov.uk/flood-monitoring/id/stations/2425,51.832287,-2.270144,SO8148114888,2425,214888,381481,None,GB109054032680,1604.3871103944957,Severn,Severn Vale,Gloucester Tributaries,Daniels Bk - source to Glos-Sharpness Canal,River,382478,213631,SO8247813631
http://environment.data.gov.uk/flood-monitoring/id/stations/2258,51.824551,-2.297854,None,2258,214035,379568,Dimore Brook,GB109054032680,2937.9101415802356,Severn,Severn Vale,Gloucester Tributaries,Daniels Bk - source to Glos-Sharpness Canal,River,382478,213631,SO8247813631
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00017000,51.874478,-2.267942,None,MD-00017000,219580,381650,None,GB109054032750,578.9412750875515,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00017500,51.893543,-2.265876,None,MD-00017500,221700,381800,None,GB109054032750,2130.434932120669,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00021202,51.862452,-2.257996,None,MD-00021202,218240,382330,None,GB109054032750,1376.7835705004618,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-03933100,51.857353,-2.245915,None,MD-03933100,217670,383160,None,GB109054032750,2154.964732890077,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-03959130,51.875847,-2.250606,None,MD-03959130,219728,382844,None,GB109054032750,626.6426413834283,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-03959170,51.876228,-2.249068,None,MD-03959170,219770,382950,None,GB109054032750,738.8727901337279,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-03959430,51.871113,-2.244392,None,MD-03959430,219200,383270,None,GB109054032750,1120.8626142395865,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04064050,51.886294,-2.250432,None,MD-04064050,220890,382860,None,GB109054032750,1424.834376339931,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04076050,51.883443,-2.237921,None,MD-04076050,220570,383720,None,GB109054032750,1772.5442166558216,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04131700,51.891005,-2.233021,None,MD-04131700,221410,384060,None,GB109054032750,2566.209851122858,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04131820,51.890571,-2.225317,None,MD-04131820,221360,384590,None,GB109054032750,2937.8653815312914,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/flood-monitoring/id/stations/2618,51.887818,-2.256949,None,2618,221061,382412,River Severn,GB109054032750,1459.6437921630059,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/flood-monitoring/id/stations/2644,51.888033,-2.253216,SO8266921084,2644,221084,382669,River Severn,GB109054032750,1535.682909978489,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/flood-monitoring/id/stations/2619,51.887632,-2.251427,None,2619,221039,382792,Hatherley Brook,GB109054032750,1533.4836158237883,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/flood-monitoring/id/stations/2165,51.864982,-2.252201,None,2165,218520,382730,River Severn,GB109054032750,1202.7688888560428,Severn,Severn Vale,Severn River and Tributaries,Severn (E Channel) - Horsebere Bk to Severn Est,River,382228,219613,SO8222819613
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00024062,51.923755,-2.2646,None,MD-00024062,225060,381900,None,GB109054044404,3219.522480120305,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Avon to conf Upper Parting,River,384415,227070,SO8441527070
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00025085,51.94892,-2.226192,None,MD-00025085,227850,384550,None,GB109054044404,791.5964881175257,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Avon to conf Upper Parting,River,384415,227070,SO8441527070
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04412220,51.928987,-2.256923,None,MD-04412220,225640,382430,None,GB109054044404,2446.4515118841005,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Avon to conf Upper Parting,River,384415,227070,SO8441527070
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04464180,51.933734,-2.221316,None,MD-04464180,226160,384880,None,GB109054044404,1021.9222083896601,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Avon to conf Upper Parting,River,384415,227070,SO8441527070
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04668420,51.954557,-2.239608,None,MD-04668420,228480,383630,None,GB109054044404,1613.7921179631533,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Avon to conf Upper Parting,River,384415,227070,SO8441527070
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04684380,51.96387,-2.265404,None,MD-04684380,229522,381861,None,GB109054044404,3540.511262515627,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Avon to conf Upper Parting,River,384415,227070,SO8441527070
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04729570,51.97566,-2.251658,None,MD-04729570,230830,382810,None,GB109054044404,4088.230057127412,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Avon to conf Upper Parting,River,384415,227070,SO8441527070
http://environment.data.gov.uk/flood-monitoring/id/stations/2071,51.922936,-2.265002,None,2071,224969,381872,River Severn,GB109054044404,3298.6436606581196,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Avon to conf Upper Parting,River,384415,227070,SO8441527070
http://environment.data.gov.uk/flood-monitoring/id/stations/2057,51.948918,-2.227065,None,2057,227850,384490,River Severn,GB109054044404,783.5974731965385,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Avon to conf Upper Parting,River,384415,227070,SO8441527070
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00025312,51.965964,-2.197168,None,MD-00025312,229740,386550,None,GB70910059,2916.082989216871,Severn,Severn England AWB,Severn River and Tributaries Canals,Combe Hill Canal,Canal,386572,226824,SO8657226824
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04659280,51.955615,-2.202943,None,MD-04659280,228590,386150,None,GB70910059,1815.7202427686925,Severn,Severn England AWB,Severn River and Tributaries Canals,Combe Hill Canal,Canal,386572,226824,SO8657226824
http://environment.data.gov.uk/flood-monitoring/id/stations/2188,51.926224,-2.197575,None,2188,225320,386510,Leigh Brook,GB70910059,1505.2773830759565,Severn,Severn England AWB,Severn River and Tributaries Canals,Combe Hill Canal,Canal,386572,226824,SO8657226824
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00026172,51.999012,-2.163229,None,MD-00026172,233410,388890,None,GB109054039800,1087.5587340461204,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00026230,52.001799,-2.16353,None,MD-00026230,233720,388870,None,GB109054039800,1394.1893702076486,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04766040,51.983709,-2.176132,None,MD-04766040,231710,388000,None,GB109054039800,982.366530374483,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04766060,51.984075,-2.171911,None,MD-04766060,231750,388290,None,GB109054039800,747.7860656631682,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04766069,51.983449,-2.169725,None,MD-04766069,231680,388440,None,GB109054039800,725.3854147968513,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04766100,51.98587,-2.173957,None,MD-04766100,231950,388150,None,GB109054039800,720.3776787213774,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04767100,51.997313,-2.156231,None,MD-04767100,233220,389370,None,GB109054039800,1077.8515667753145,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04831100,51.990567,-2.158684,None,MD-04831100,232470,389200,None,GB109054039800,459.83040351851463,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-05348020,51.998488,-2.152157,None,MD-05348020,233350,389650,None,GB109054039800,1352.3845606927048,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-12594280,51.999083,-2.176484,None,MD-12594280,233420,387980,None,GB109054039800,1341.5006522547799,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-12594350,51.999881,-2.17809,None,MD-12594350,233509,387870,None,GB109054039800,1478.4130004839649,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-12616020,52.006289,-2.166898,None,MD-12616020,234220,388640,None,GB109054039800,1893.9334729604416,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/flood-monitoring/id/stations/2700,51.991326,-2.162837,SO88913255,2700,232555,388915,None,GB109054039800,272.0918962409575,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/flood-monitoring/id/stations/2098,51.998663,-2.155508,None,2098,233370,389420,River Avon,GB109054039800,1230.6762368714203,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/flood-monitoring/id/stations/2087,52.00171,-2.163093,None,2087,233710,388900,River Severn,GB109054039800,1386.8828357146829,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/flood-monitoring/id/stations/2099,51.998816,-2.155465,SO8942333387,2099,233387,389423,None,GB109054039800,1246.6635472331739,Severn,Avon Warwickshire,Avon - Midlands West,Avon - Tolsey Lane to conf R Severn,River,388762,232330,SO8876232330
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00026950,52.030072,-2.194826,None,MD-00026950,236870,386730,None,GB109054039730,1219.970491446412,Severn,Severn Vale,Severn River and Tributaries,Ripple Bk - source to conf R Severn,River,387912,236568,SO8791236568
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04769220,52.027003,-2.140448,None,MD-04769220,236520,390460,None,GB109054039730,2548.452079204159,Severn,Severn Vale,Severn River and Tributaries,Ripple Bk - source to conf R Severn,River,387912,236568,SO8791236568
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-04769480,52.025849,-2.127474,None,MD-04769480,236390,391350,None,GB109054039730,3442.6048277430855,Severn,Severn Vale,Severn River and Tributaries,Ripple Bk - source to conf R Severn,River,387912,236568,SO8791236568
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-05848100,52.031951,-2.137694,None,MD-05848100,237070,390650,None,GB109054039730,2783.639344455384,Severn,Severn Vale,Severn River and Tributaries,Ripple Bk - source to conf R Severn,River,387912,236568,SO8791236568
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-12616850,52.025872,-2.178339,None,MD-12616850,236400,387860,None,GB109054039730,175.86358349584486,Severn,Severn Vale,Severn River and Tributaries,Ripple Bk - source to conf R Severn,River,387912,236568,SO8791236568
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-12617040,52.040343,-2.181312,None,MD-12617040,238010,387660,None,GB109054039730,1463.8538178383797,Severn,Severn Vale,Severn River and Tributaries,Ripple Bk - source to conf R Severn,River,387912,236568,SO8791236568
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-12617160,52.04746,-2.17128,None,MD-12617160,238800,388350,None,GB109054039730,2274.5698494440658,Severn,Severn Vale,Severn River and Tributaries,Ripple Bk - source to conf R Severn,River,387912,236568,SO8791236568
http://environment.data.gov.uk/flood-monitoring/id/stations/2128,52.03494,-2.116566,None,2128,237400,392100,River Avon,GB109054039730,4269.844025254319,Severn,Severn Vale,Severn River and Tributaries,Ripple Bk - source to conf R Severn,River,387912,236568,SO8791236568
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00027540,52.064915,-2.21788,None,MD-00027540,240750,385160,None,GB109054039760,1842.431274159229,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Teme to conf R Avon,River,384832,242563,SO8483242563
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00027800,52.072447,-2.228421,None,MD-00027800,241590,384440,None,GB109054039760,1048.9961868376834,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Teme to conf R Avon,River,384832,242563,SO8483242563
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-13077270,52.070656,-2.209957,None,MD-13077270,241387,385705,None,GB109054039760,1464.6176975579667,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Teme to conf R Avon,River,384832,242563,SO8483242563
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-13088020,52.066166,-2.221679,None,MD-13088020,240890,384900,None,GB109054039760,1674.3813783006547,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Teme to conf R Avon,River,384832,242563,SO8483242563
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-13266400,52.101429,-2.21105,None,MD-13266400,244810,385640,None,GB109054039760,2387.85950172953,Severn,Severn Vale,Severn River and Tributaries,Severn - conf R Teme to conf R Avon,River,384832,242563,SO8483242563
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00027590,52.062289,-2.227786,None,MD-00027590,240460,384480,None,GB109054039720,1891.7201167191727,Severn,Severn Vale,Malvern Hills,Pool Brook - source to conf R Severn,River,383466,242057,SO8346642057
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-13088360,52.081046,-2.244371,None,MD-13088360,242550,383350,None,GB109054039720,506.4632267006164,Severn,Severn Vale,Malvern Hills,Pool Brook - source to conf R Severn,River,383466,242057,SO8346642057
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-13100020,52.069554,-2.23643,None,MD-13100020,241270,383890,None,GB109054039720,893.9491036966255,Severn,Severn Vale,Malvern Hills,Pool Brook - source to conf R Severn,River,383466,242057,SO8346642057
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00028525,52.102519,-2.238035,None,MD-00028525,244937,383792,None,GB109054039740,2103.4623837853624,Severn,Severn Vale,Malvern Hills,Madresfield Bk - source to conf R Severn,River,382517,246610,SO8251746610
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00028562,52.100716,-2.292071,None,MD-00028562,244750,380090,None,GB109054039740,3057.7653605206533,Severn,Severn Vale,Malvern Hills,Madresfield Bk - source to conf R Severn,River,382517,246610,SO8251746610
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00028569,52.102235,-2.295877,None,MD-00028569,244920,379830,None,GB109054039740,3174.2824385993126,Severn,Severn Vale,Malvern Hills,Madresfield Bk - source to conf R Severn,River,382517,246610,SO8251746610
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00028620,52.115231,-2.234043,None,MD-00028620,246350,384070,None,GB109054039740,1574.6139209342714,Severn,Severn Vale,Malvern Hills,Madresfield Bk - source to conf R Severn,River,382517,246610,SO8251746610
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-13089180,52.103462,-2.271649,None,MD-13089180,245050,381490,None,GB109054039740,1867.706882784341,Severn,Severn Vale,Malvern Hills,Madresfield Bk - source to conf R Severn,River,382517,246610,SO8251746610
